,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
152,1,1,0,0,0,76.0,3,1,0,433,433,67.5,0,0,0,Vittoria,Pro Sud Gradinata
153,3,0,0,0,0,61.0,1,3,0,4411,4411,62.5,0,0,0,Sconfitta,The Okan
154,1,1,0,0,0,68.5,1,0,0,4312,4312,65.0,0,0,0,Pareggio,Hyrule's Chickens
155,3,1,0,0,0,69.0,1,1,0,442,442,67.5,0,0,0,Pareggio,Civitanova Squidfishers
156,2,2,1,0,0,73.0,1,0,0,433,433,68.0,0,0,0,Pareggio,Bluefin FC
157,2,1,0,0,0,71.0,1,0,0,3412,3412,68.0,0,0,0,Pareggio,Club Atletico De San Martin De Tucuman
158,2,1,0,0,1,72.0,2,0,0,4312,4312,67.0,0,0,0,Vittoria,S S Condom
159,0,0,0,0,0,64.0,1,2,2,4312,4312,64.0,0,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
160,1,0,0,0,0,78.5,3,0,0,433,433,70.0,0,0,0,Vittoria,Tutankhamon Rotoloni Cigni
161,1,0,0,0,0,69.5,1,0,1,4312,4312,67.5,0,0,0,Sconfitta,S S Condom
162,1,0,0,0,0,75.5,2,1,0,3412,3412,68.0,0,0,1,Vittoria,Club Atletico De San Martin De Tucuman
163,1,0,0,0,0,68.0,1,1,0,4312,4312,66.5,0,0,0,Sconfitta,Hyrule's Chickens
164,1,0,0,0,0,67.0,0,0,0,433,433,67.5,0,0,0,Pareggio,Pro Sud Gradinata
165,2,0,0,1,0,69.0,2,1,0,442,442,68.0,0,0,0,Pareggio,Civitanova Squidfishers
166,1,2,0,0,0,66.5,0,0,0,343,343,65.0,0,0,0,Vittoria,Club Atletico Luigi Cadorna Milano 1896
167,3,1,1,0,0,63.5,0,1,0,433,433,64.0,0,0,0,Sconfitta,Bluefin FC
168,3,1,0,0,0,63.5,0,1,0,4411,4411,65.0,0,0,0,Pareggio,The Okan
169,1,0,0,0,0,58.0,0,0,1,343,343,59.0,0,0,0,Pareggio,Overflow FC
170,2,1,1,0,0,71.5,2,0,2,343,343,65.5,0,0,0,Sconfitta,Overflow FC
171,0,0,0,0,0,74.0,2,1,0,433,433,69.0,0,0,0,Vittoria,Pro Sud Gradinata
172,0,1,0,0,0,75.0,2,0,1,4312,4312,68.5,0,0,0,Vittoria,Hyrule's Chickens
173,1,0,0,0,0,73.0,1,0,0,4312,4312,67.5,1,0,0,Sconfitta,Club Atletico Luigi Cadorna Milano 1896
174,2,2,1,0,0,70.5,0,0,0,343,343,68.5,0,0,0,Vittoria,Bluefin FC
175,3,2,0,0,0,64.0,0,2,1,433,433,66.0,0,0,0,Sconfitta,Tutankhamon Rotoloni Cigni
176,1,2,0,0,0,70.5,1,2,0,442,442,68.0,0,0,0,Vittoria,Civitanova Squidfishers
177,2,0,0,0,0,68.0,1,1,0,3412,3412,67.0,0,0,0,Sconfitta,Club Atletico De San Martin De Tucuman
178,0,0,0,0,0,75.5,4,3,3,4312,4312,68.0,0,0,0,Vittoria,S S Condom
179,1,2,0,0,1,66.0,0,0,0,442,442,65.5,0,0,0,Sconfitta,The Okan
