,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
144,3,2,0,0,0,65.0,0,3,0,442,442,67.5,0,0,0,Sconfitta,Varese Veterans
145,2,0,0,0,0,70.0,2,0,0,4231,4231,65.0,0,0,0,Vittoria,AC Vostra
146,1,0,0,0,0,66.0,2,0,0,442,442,63.5,0,1,0,Vittoria,I Porci Comodi
147,2,0,0,0,0,65.0,1,0,0,343,343,63.0,0,0,0,Sconfitta,Anti FC
148,0,1,0,0,0,68.0,1,3,0,442,442,67.0,0,0,0,Vittoria,Atletico Agnelli FC
149,3,1,0,0,0,62.0,1,3,0,433,433,65.5,0,1,0,Sconfitta,Miracles Alley's Cats FC
150,4,2,0,0,0,71.0,1,1,0,4231,4231,69.0,0,0,0,Vittoria,FC Electrosila Skingrad
151,1,1,0,0,0,66.0,2,1,0,442,442,63.5,0,1,0,Sconfitta,I Porci Comodi
152,2,0,0,0,0,67.5,1,0,0,343,343,65.5,0,0,0,Sconfitta,Anti FC
153,1,0,1,0,0,81.5,3,0,0,433,433,69.0,0,0,1,Vittoria,Sturmtruppen
154,1,1,0,0,0,73.5,2,0,0,352,352,67.0,0,0,0,Pareggio,Panino
155,2,3,0,0,0,70.0,0,0,0,442,442,68.0,0,0,0,Pareggio,Varese Veterans
156,1,1,0,0,0,59.5,0,2,0,433,433,61.0,0,0,0,Sconfitta,Miracles Alley's Cats FC
157,1,0,1,0,1,77.0,2,0,0,4231,4231,68.5,0,0,1,Vittoria,AC Vostra
158,1,0,0,0,0,62.5,0,1,0,442,442,64.0,0,0,0,Pareggio,Atletico Agnelli FC
159,3,1,0,0,0,59.5,0,2,0,433,433,62.0,0,0,0,Pareggio,Sbronzi di Riace
160,1,1,0,0,0,70.5,1,1,0,433,433,68.0,0,0,0,Vittoria,Sturmtruppen
161,1,1,0,0,0,67.5,0,0,0,442,442,67.0,0,0,0,Sconfitta,FC Electrosila Skingrad
162,1,0,0,0,0,70.0,1,1,0,4231,4231,65.5,0,0,1,Vittoria,AC Vostra
163,0,0,0,0,0,63.5,0,0,0,352,352,63.5,0,0,0,Sconfitta,Panino
164,1,0,0,0,0,62.5,0,2,0,442,442,65.0,0,0,0,Sconfitta,Varese Veterans
165,1,1,0,0,0,68.5,1,1,1,343,343,66.5,0,0,0,Vittoria,Anti FC
166,1,1,1,0,0,67.5,1,1,0,433,433,64.0,0,0,0,Pareggio,Miracles Alley's Cats FC
167,1,1,0,0,0,67.5,0,0,0,433,433,67.0,0,0,0,Pareggio,Sbronzi di Riace
168,2,0,0,0,0,63.5,0,1,0,433,433,65.5,0,0,0,Pareggio,I Porci Comodi
169,2,0,0,0,0,63.0,2,2,0,442,442,60.0,0,0,0,Pareggio,Atletico Agnelli FC
170,2,0,0,0,0,75.5,3,0,0,433,433,67.5,0,0,0,Vittoria,Sbronzi di Riace
171,2,1,0,0,0,66.0,1,2,0,433,433,65.0,0,0,0,Sconfitta,I Porci Comodi
172,3,0,0,1,0,76.5,5,3,0,352,352,69.0,0,0,0,Vittoria,FC Electrosila Skingrad
173,0,0,0,0,0,63.5,0,1,0,442,442,64.5,0,0,0,Sconfitta,Varese Veterans
174,1,1,0,0,0,70.5,1,0,1,343,343,67.5,0,0,0,Pareggio,Anti FC
175,1,1,0,0,0,70.5,1,1,0,4231,4231,68.0,0,0,0,Pareggio,AC Vostra
176,0,2,1,0,0,76.0,2,2,0,442,442,69.0,0,0,0,Vittoria,Panino
177,0,2,0,0,0,57.0,0,0,0,433,433,55.0,0,0,0,Sconfitta,Miracles Alley's Cats FC
178,2,0,0,0,0,63.5,0,1,0,442,442,65.5,0,0,0,Pareggio,Atletico Agnelli FC
179,0,1,0,0,0,64.5,0,1,0,433,433,64.5,0,0,0,Pareggio,Sturmtruppen
