,Ammonizione casa,Ammonizione fuori casa,Assist casa,Assist da fermo casa,Assist da fermo fuori casa,Assist fuori casa,Autorete casa,Autorete fuori casa,Espulsione casa,Espulsione fuori casa,Fantapunti casa,Fantapunti fuori casa,Goal casa,Goal fuori casa,Goal subito casa,Goal subito fuori casa,Malus casa,Malus fuori casa,Modulo applicato casa,Modulo applicato fuori casa,Modulo casa,Modulo fuori casa,Punti casa,Punti fuori casa,Rigore parato casa,Rigore parato fuori casa,Rigore sbagliato casa,Rigore sbagliato fuori casa,Rigore segnato casa,Rigore segnato fuori casa,Risultato,Risultato casa,Risultato fuori casa,Squadra casa,Squadra fuori casa
45,2,1,0,0,0,1,0,0,0,0,74.5,60.5,3,0,2,0,0,0,433,433,433,433,68.5,60.0,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Sturmtruppen,Sbronzi di Riace
46,1,4,0,0,0,0,0,0,0,0,63.5,63.5,0,0,0,1,0,0,4231,4231,4231,4231,64.0,66.5,0,0,0,0,0,0,0-0,Pareggio,Pareggio,AC Vostra,FC Electrosila Skingrad
47,1,2,1,0,0,0,0,0,1,0,65.5,59.0,1,0,1,3,0,0,442,442,442,442,64.0,63.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Varese Veterans,Atletico Agnelli FC
48,3,1,1,0,0,1,0,0,0,0,67.5,72.0,1,2,0,1,0,1,352,343,352,343,65.0,67.0,0,0,0,0,0,0,1-2,Sconfitta,Vittoria,Panino,Anti FC
49,1,1,0,0,0,1,0,0,0,0,64.0,73.0,0,2,0,2,0,0,4312,4411,4312,4411,64.5,68.5,0,0,0,0,0,0,0-2,Sconfitta,Vittoria,Miracles Alley's Cats FC,I Porci Comodi
50,0,1,0,0,0,1,0,0,0,0,67.5,67.5,1,1,1,2,0,0,433,442,433,442,65.5,66.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Sbronzi di Riace,Varese Veterans
51,0,5,1,1,0,0,0,0,1,0,68.5,61.0,1,0,0,1,1,0,4222,442,4222,442,65.0,64.5,0,0,1,0,1,0,1-0,Vittoria,Sconfitta,FC Electrosila Skingrad,Panino
52,1,2,1,0,0,2,0,0,0,0,70.0,66.5,1,1,3,2,1,0,343,433,343,433,67.0,67.5,0,0,0,1,1,0,2-1,Vittoria,Sconfitta,Anti FC,Miracles Alley's Cats FC
53,2,2,1,0,0,3,0,0,0,0,73.0,78.5,2,2,1,0,0,0,352,433,352,433,65.0,70.5,0,0,0,0,1,0,2-4,Sconfitta,Vittoria,I Porci Comodi,Sturmtruppen
54,1,1,0,1,0,0,0,0,0,0,75.5,69.5,3,2,0,1,1,0,442,4231,442,4231,66.5,65.0,0,0,0,0,0,0,3-1,Vittoria,Sconfitta,Atletico Agnelli FC,AC Vostra
55,1,1,0,0,0,0,0,0,0,0,66.0,67.0,1,1,1,0,0,0,4231,433,4231,433,64.5,64.5,0,0,0,0,0,0,1-1,Pareggio,Pareggio,AC Vostra,Sbronzi di Riace
56,1,2,1,0,0,0,0,0,0,0,65.5,70.5,0,2,0,1,1,0,442,352,442,352,65.5,66.5,0,0,0,0,0,0,0-2,Sconfitta,Vittoria,Varese Veterans,I Porci Comodi
57,1,1,0,0,0,0,0,0,0,0,73.0,68.5,2,2,0,3,0,0,343,3412,343,3412,67.5,66.0,0,0,0,0,0,0,2-1,Vittoria,Sconfitta,Anti FC,FC Electrosila Skingrad
58,2,0,2,0,0,2,0,0,0,0,73.5,72.5,1,1,1,1,0,1,352,442,352,442,70.5,69.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Panino,Atletico Agnelli FC
59,1,1,0,0,1,1,0,0,0,0,65.5,68.5,1,1,0,1,0,0,433,433,433,433,66.0,65.0,0,0,1,0,0,0,0-1,Sconfitta,Vittoria,Miracles Alley's Cats FC,Sturmtruppen
60,1,2,0,0,0,1,0,0,0,0,69.0,65.0,1,0,0,1,0,0,433,442,433,442,66.5,66.0,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,Sturmtruppen,Varese Veterans
61,0,1,0,0,0,0,0,0,0,1,75.0,71.5,2,3,1,1,0,0,4312,352,4312,352,70.0,65.0,0,0,0,0,0,0,3-2,Vittoria,Sconfitta,Sbronzi di Riace,Panino
62,2,2,1,0,0,0,0,0,0,0,71.5,58.0,2,0,1,2,0,0,4231,433,4231,433,66.5,61.0,0,0,0,0,0,0,2-0,Vittoria,Sconfitta,FC Electrosila Skingrad,Miracles Alley's Cats FC
63,2,0,0,0,0,1,0,0,0,0,76.0,70.0,2,1,1,0,0,0,352,4312,352,4312,69.0,66.0,1,0,0,0,0,0,3-2,Vittoria,Sconfitta,I Porci Comodi,AC Vostra
64,1,0,3,0,0,2,0,0,0,0,73.0,75.5,1,2,0,0,0,0,442,343,442,343,67.5,67.5,0,0,0,0,0,0,2-3,Sconfitta,Vittoria,Atletico Agnelli FC,Anti FC
65,3,3,0,0,0,0,0,0,0,0,73.0,71.0,3,2,0,2,0,0,4231,4312,4231,4312,65.5,68.5,0,0,0,0,0,0,2-2,Pareggio,Pareggio,AC Vostra,Sturmtruppen
66,0,1,0,0,0,0,0,1,1,0,66.5,60.0,2,0,2,0,0,0,4231,442,4231,442,63.5,63.5,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,FC Electrosila Skingrad,Atletico Agnelli FC
67,3,2,0,0,0,1,0,0,0,0,65.5,65.0,1,0,0,0,0,0,343,433,343,433,64.0,65.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Anti FC,Sbronzi di Riace
68,2,1,0,0,0,0,0,0,0,0,64.0,71.0,1,1,3,0,0,0,433,352,433,352,65.0,68.5,0,0,0,0,0,0,0-2,Sconfitta,Vittoria,Panino,I Porci Comodi
69,3,1,2,0,0,0,0,0,0,0,63.0,66.5,1,0,1,1,0,0,433,442,433,442,60.5,68.0,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Miracles Alley's Cats FC,Varese Veterans
70,2,0,2,0,0,0,0,0,1,0,61.5,69.5,0,2,1,3,0,0,433,433,433,433,62.5,66.5,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Sturmtruppen,Panino
71,0,2,1,0,0,0,0,0,0,0,71.0,67.0,2,0,1,1,0,1,433,343,433,343,65.0,66.5,0,1,0,0,0,0,2-1,Vittoria,Sconfitta,Sbronzi di Riace,FC Electrosila Skingrad
