,Ammonizione casa,Ammonizione fuori casa,Assist casa,Assist da fermo casa,Assist da fermo fuori casa,Assist fuori casa,Autorete casa,Autorete fuori casa,Espulsione casa,Espulsione fuori casa,Fantapunti casa,Fantapunti fuori casa,Goal casa,Goal fuori casa,Goal subito casa,Goal subito fuori casa,Malus casa,Malus fuori casa,Modulo applicato casa,Modulo applicato fuori casa,Modulo casa,Modulo fuori casa,Punti casa,Punti fuori casa,Rigore parato casa,Rigore parato fuori casa,Rigore sbagliato casa,Rigore sbagliato fuori casa,Rigore segnato casa,Rigore segnato fuori casa,Risultato,Risultato casa,Risultato fuori casa,Squadra casa,Squadra fuori casa
50,3,0,3,0,0,0,0,0,0,0,74.5,58.0,1,0,1,1,0,0,3412,4312,3412,4312,68.0,59.0,0,0,0,0,1,0,3-0,Vittoria,Sconfitta,Club Atletico De San Martin De Tucuman,Club Atletico Luigi Cadorna Milano 1896
51,4,2,0,1,0,1,0,0,1,0,62.5,71.5,1,1,1,0,0,1,433,4321,433,4321,62.5,69.0,0,0,1,0,1,0,0-2,Sconfitta,Vittoria,Hyrule's Chickens,The Okan
52,1,1,3,1,0,1,0,0,0,0,69.5,74.5,1,2,3,1,0,1,433,343,433,343,66.0,69.5,0,0,0,0,0,0,1-3,Sconfitta,Vittoria,Bluefin FC,Overflow FC
53,0,2,1,0,0,0,0,0,0,0,75.5,67.0,3,1,1,1,0,0,442,433,442,433,66.5,66.0,0,0,0,0,0,0,3-1,Vittoria,Sconfitta,Civitanova Squidfishers,Tutankhamon Rotoloni Cigni
54,1,2,1,0,0,0,0,0,0,0,72.5,58.0,1,0,2,0,1,0,4312,433,4312,433,68.5,62.0,0,0,0,1,1,0,2-0,Vittoria,Sconfitta,S S Condom,Pro Sud Gradinata
55,1,2,1,0,0,1,0,0,0,0,83.5,64.5,4,1,0,0,1,0,343,433,343,433,71.5,64.5,0,0,0,1,0,0,5-0,Vittoria,Sconfitta,Overflow FC,Hyrule's Chickens
56,2,3,1,0,0,0,0,0,0,0,68.0,60.0,1,0,1,1,0,0,433,3412,433,3412,66.0,62.5,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,Tutankhamon Rotoloni Cigni,Club Atletico De San Martin De Tucuman
57,1,2,0,0,0,0,0,0,0,0,67.0,67.0,1,1,1,0,0,0,4312,4312,4312,4312,65.5,65.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Pro Sud Gradinata,Club Atletico Luigi Cadorna Milano 1896
58,1,1,0,0,0,2,0,0,0,0,62.0,69.0,0,0,1,1,1,0,4321,442,4321,442,64.0,68.5,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,The Okan,Civitanova Squidfishers
59,0,3,1,0,1,1,0,0,1,0,59.5,74.5,0,2,0,0,1,0,4312,433,4312,433,60.0,68.0,0,0,0,0,0,0,0-3,Sconfitta,Vittoria,S S Condom,Bluefin FC
60,0,1,2,0,0,1,0,0,0,0,81.0,70.0,3,2,0,5,0,1,343,4321,343,4321,70.0,69.0,0,0,0,0,0,0,4-2,Vittoria,Sconfitta,Club Atletico De San Martin De Tucuman,The Okan
61,2,4,0,0,1,0,0,0,0,0,64.0,66.0,1,1,2,1,0,0,4312,4312,4312,4312,64.0,65.0,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Hyrule's Chickens,S S Condom
62,0,3,2,0,0,4,0,0,0,0,77.5,71.0,2,1,1,1,0,0,4231,433,4231,433,70.5,66.5,0,0,0,0,0,0,3-2,Vittoria,Sconfitta,Club Atletico Luigi Cadorna Milano 1896,Tutankhamon Rotoloni Cigni
63,3,0,1,0,0,0,0,0,0,0,74.5,63.0,2,0,0,0,0,0,433,433,433,433,69.0,63.0,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Bluefin FC,Pro Sud Gradinata
64,0,0,0,0,0,1,0,0,1,0,81.0,69.5,4,1,1,1,0,2,442,343,442,343,68.0,67.5,1,0,0,0,0,0,4-1,Vittoria,Sconfitta,Civitanova Squidfishers,Overflow FC
65,1,2,0,0,0,1,0,0,0,0,64.0,76.0,0,2,0,0,0,0,433,3412,433,3412,64.5,70.0,0,0,0,0,0,0,0-3,Sconfitta,Vittoria,Overflow FC,Club Atletico De San Martin De Tucuman
66,1,0,0,0,0,0,1,0,0,0,63.5,62.0,0,0,0,3,0,0,433,433,433,433,67.0,65.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Pro Sud Gradinata,Tutankhamon Rotoloni Cigni
67,3,2,1,0,0,1,0,0,0,0,67.5,65.5,1,1,0,1,0,0,352,433,352,433,65.0,63.5,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,Bluefin FC,Hyrule's Chickens
68,3,0,0,0,0,2,0,0,0,0,66.0,73.0,1,2,2,1,1,3,4411,4312,4411,4312,67.0,67.5,0,0,0,0,0,0,1-2,Sconfitta,Vittoria,The Okan,Club Atletico Luigi Cadorna Milano 1896
69,1,2,0,0,0,0,0,0,1,0,60.0,64.0,0,0,1,0,1,0,4312,442,4312,442,63.0,65.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,S S Condom,Civitanova Squidfishers
70,1,1,0,0,0,0,0,0,0,0,69.0,62.0,2,0,3,1,1,1,433,4411,433,4411,67.0,64.0,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,Tutankhamon Rotoloni Cigni,The Okan
71,1,1,1,0,0,0,0,0,0,0,61.5,71.0,0,1,0,1,0,1,3412,4312,3412,4312,64.0,67.0,0,1,1,0,0,0,0-2,Sconfitta,Vittoria,Club Atletico De San Martin De Tucuman,S S Condom
72,4,2,2,0,0,0,0,0,0,1,64.5,62.5,1,1,3,3,0,0,4312,433,4312,433,64.5,64.5,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Hyrule's Chickens,Pro Sud Gradinata
73,1,1,1,0,1,1,0,0,0,0,65.0,77.5,1,3,3,1,0,0,4312,433,4312,433,64.5,68.0,0,0,0,0,0,0,0-3,Sconfitta,Vittoria,Club Atletico Luigi Cadorna Milano 1896,Overflow FC
74,1,4,1,0,0,2,0,0,0,0,65.0,73.0,0,2,0,0,0,0,442,352,442,352,64.5,67.0,0,0,0,0,0,0,0-2,Sconfitta,Vittoria,Civitanova Squidfishers,Bluefin FC
75,1,0,0,0,0,0,0,0,1,0,53.5,71.5,0,2,2,0,1,0,433,433,433,433,60.5,65.5,0,0,1,0,0,0,0-2,Sconfitta,Vittoria,Overflow FC,Tutankhamon Rotoloni Cigni
76,1,3,1,0,0,0,0,0,0,0,76.0,61.0,3,1,1,3,0,0,433,4411,433,4411,67.5,62.5,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Pro Sud Gradinata,The Okan
77,1,3,1,0,0,1,0,0,0,0,68.5,69.0,1,1,0,1,0,0,4312,442,4312,442,65.0,67.5,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Hyrule's Chickens,Civitanova Squidfishers
78,2,2,2,1,0,1,0,0,0,0,73.0,71.0,1,1,0,0,0,0,433,3412,433,3412,68.0,68.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Bluefin FC,Club Atletico De San Martin De Tucuman
79,2,0,1,0,0,0,0,0,1,0,72.0,64.0,2,1,0,2,0,2,4312,4312,4312,4312,67.0,64.0,0,0,0,0,0,0,2-0,Vittoria,Sconfitta,S S Condom,Club Atletico Luigi Cadorna Milano 1896
80,1,1,0,0,0,0,0,0,0,0,78.5,69.5,3,1,0,0,0,1,433,4312,433,4312,70.0,67.5,0,0,0,0,0,0,4-1,Vittoria,Sconfitta,Tutankhamon Rotoloni Cigni,S S Condom
81,1,1,0,0,0,0,0,0,0,0,75.5,68.0,2,1,1,1,0,0,3412,4312,3412,4312,68.0,66.5,0,0,0,0,1,0,3-1,Vittoria,Sconfitta,Club Atletico De San Martin De Tucuman,Hyrule's Chickens
82,1,2,0,0,0,0,0,1,0,0,67.0,69.0,0,2,0,1,0,0,433,442,433,442,67.5,68.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Pro Sud Gradinata,Civitanova Squidfishers
83,1,3,2,0,1,1,0,0,0,0,66.5,63.5,0,0,0,1,0,0,343,433,343,433,65.0,64.0,0,0,0,0,0,0,1-0,Vittoria,Sconfitta,Club Atletico Luigi Cadorna Milano 1896,Bluefin FC
84,3,1,1,0,0,0,0,0,0,0,63.5,58.0,0,0,1,0,0,1,4411,343,4411,343,65.0,59.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,The Okan,Overflow FC
85,2,0,1,1,0,0,0,0,0,0,71.5,74.0,2,2,0,1,2,0,343,433,343,433,65.5,69.0,0,0,0,0,0,0,2-3,Sconfitta,Vittoria,Overflow FC,Pro Sud Gradinata
86,0,1,1,0,0,0,0,0,0,0,75.0,73.0,2,1,0,0,1,0,4312,4312,4312,4312,68.5,67.5,0,1,0,0,0,0,3-2,Vittoria,Sconfitta,Hyrule's Chickens,Club Atletico Luigi Cadorna Milano 1896
87,2,3,2,1,0,2,0,0,0,0,70.5,64.0,0,0,0,2,0,1,343,433,343,433,68.5,66.0,0,0,0,0,0,0,2-0,Vittoria,Sconfitta,Bluefin FC,Tutankhamon Rotoloni Cigni
88,1,2,2,0,0,0,0,0,0,0,70.5,68.0,1,1,2,1,0,0,442,3412,442,3412,68.0,67.0,0,0,0,0,0,0,2-1,Vittoria,Sconfitta,Civitanova Squidfishers,Club Atletico De San Martin De Tucuman
89,0,1,0,0,0,2,0,0,0,1,75.5,66.0,4,0,3,0,3,0,4312,442,4312,442,68.0,65.5,0,0,0,0,0,0,3-1,Vittoria,Sconfitta,S S Condom,The Okan
