,Ammonizione,Assist,Assist da fermo,Autorete,Espulsione,Fantapunti,Goal,Goal subito,Malus,Modulo,Modulo applicato,Punti,Rigore parato,Rigore sbagliato,Rigore segnato,Risultato,Squadra
153,0,0,0,0,0,74.5,2,0,0,541,541,68.5,0,0,0,Vittoria,Pro Sud Gradinata
154,0,0,0,0,0,71.5,1,1,0,541,541,69.5,0,0,0,Pareggio,Civitanova Squidfishers
155,0,0,0,0,0,70.5,1,0,0,343,343,67.5,0,0,0,Pareggio,Overflow FC
156,2,2,0,0,0,71.5,1,1,0,343,343,68.5,0,0,0,Sconfitta,SS Condom
157,1,1,0,0,0,79.5,3,1,0,451,451,71.0,0,0,0,Vittoria,FC Elektrosila Skingrad
158,1,0,0,0,0,68.0,1,0,0,352,352,65.5,0,0,0,Sconfitta,Sbronzi di Riace
159,0,2,0,0,0,71.0,0,0,0,433,433,69.0,0,0,0,Vittoria,Bluefin FC
160,4,0,0,0,0,77.5,3,2,0,343,343,69.5,0,0,1,Pareggio,FK Qarabaq
161,1,1,0,0,0,74.0,2,0,0,343,343,67.5,0,0,0,Pareggio,Varese Primavera
162,2,0,0,0,0,73.0,1,0,0,451,451,68.0,1,0,0,Vittoria,Sbronzi di Riace
163,1,3,0,0,0,69.5,0,1,0,451,451,68.0,0,0,0,Sconfitta,FC Elektrosila Skingrad
164,0,0,0,0,0,84.5,5,1,0,541,541,70.5,0,0,0,Vittoria,Bluefin FC
165,1,1,0,0,0,79.5,3,1,0,541,541,71.0,0,0,0,Sconfitta,AC Vostra
166,1,0,0,0,0,73.5,2,1,0,433,433,69.0,0,0,0,Sconfitta,Pro Sud Gradinata
167,1,3,0,0,0,74.0,1,0,0,433,433,68.5,0,0,0,Vittoria,Civitanova Squidfishers
168,1,3,0,0,0,76.0,1,0,0,532,532,70.5,0,0,0,Sconfitta,Overflow FC
169,0,1,0,0,0,80.5,3,0,0,433,433,70.5,0,0,0,Vittoria,SS Condom
